제목,내용,날짜,추천수,조회수
"기아, 신형 니로 EV 사전계약 실시…1회 충전에 401㎞ 주행",64.8kWh 배터리로 5.3Km/kWh 전비 구현…3세대 플랫폼 적용(서울=연합뉴스) 김보경 기자 = 기아가 친환경 전용 스포츠유틸리티차(SUV) '디 올 뉴 기아 니로'(신형 니로)의 ..,05/03,2,1455
"법원 ""교통사고 가해측 보험사는 피해차 가치 하락도 배상해야""",[권도윤 제작] 일러스트(대구=연합뉴스) 이강일 기자 = 교통사고 가해자 측 보험사는 피해 차량 수리비뿐만 아니라 사고에 따른 차량 교환가치 하락에 대해서도 배상해야 한다는 판결이 나왔다...,05/03,5,697
유류세 인하+유가연동보조금? 유류비 더 들 수도,"작년 상반기 유류비 232만 원, 올해는 400만 원 예상연말~올초 유류세 20% 내려도 한달 유류비 398만 원5월 유류세 30%인하+유가연동보조금 적용 시 396만 원정부는 지난달 ‘고..",05/03,0,310
`e-모빌리티의 올림픽` 제9회 국제전기차엑스포 서귀포서 개막,"테슬라, 폴스타, 초소형 전기차 마이브 전시·시승 기회 제공전기차 산업 관련 비즈니스·학술·정책 등 100여개 콘퍼런스도 열려(서귀포=연합뉴스) 박지호 기자 = 'e-모빌리티의 올림픽'을 ..",05/03,0,145
"고장 잇따르는 중국산 전기버스...국토부, 안전 검증 강화한다","피라인모터스 전기버스 2개 차종 리콜비상탈출장치 미설치 등...2일부터 수리국토부, 중저가 수입산 전기상용차 대상안전 검사 강화 및 신속한 후속조치 예고중저가 중국산 전기버스의 안전 결함 ..",05/03,0,221
"현대차, 피치스와 어린이날 행사 `칠드런스 데이` 개최",(서울=연합뉴스) 김보경 기자 = 현대차가 라이프스타일·패션브랜드 피치스와 손잡고 N 브랜드를 체험할 수 있는 어린이날 행사를 연다.현대차는 오는 5∼8일 서울 성수동에 있는 복합문화공간 ..,05/03,0,201
"현대차, 3년 만에 유관중으로 `현대 N 페스티벌` 개최",6∼8일 개막해 7개월간 7라운드 진행…'아반떼 N컵' 신설(서울=연합뉴스) 김보경 기자 = 현대차는 3일 국내 최대 규모의 원메이크(단일차종) 레이싱 대회인 '현대 N 페스티벌'(Hyun..,05/03,1,263
"현대차, 넥쏘 판매 감소에도 1분기 전세계 수소차 시장 1위",2021 상하이 국제수소자동차대회에 전시된 현대차 넥쏘[촬영 차대운](서울=연합뉴스) 권희원 기자 = 현대차가 올해 1분기(1∼3월)에 전 세계 수소전기차 판매량 1위를 차지했다.3일 에너..,05/03,0,206
"포항시, 차량용 전력반도체 거점도시 도약…산업부 공모 선정",자동차 출고센터[연합뉴스 자료사진](포항=연합뉴스) 손대성 기자 = 경북 포항시는 산업통상자원부가 추진한 '와이드밴드갭 소재 기반 차량용 전력반도체 제조공정 기반구축 공모사업'에 선정됐다고..,05/03,0,84
기아 4월 판매 5.8%↓…RV 인기에 1년만에 내수 5만대 돌파,스포티지·셀토스·K3 순으로 잘 팔려(서울=연합뉴스) 김보경 기자 = 지난해부터 계속된 차량용 반도체 수급난 여파로 기아의 지난달 판매 실적이 작년 같은 기간 대비 소폭 감소했다하지만 국내..,05/03,0,83
현대차 4월판매 반도체난에 주춤…30만8천여대로 작년보다 11.6%↓,현대차[현대차 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 현대차의 올해 4월 판매실적이 차량용 반도체 공급난에 발목을 잡히면서 지난해 같은 기간보다 10% 이상 감소했다..,05/03,0,81
작년 중고 상용차 수출 호조로 18%↑,"중고 트럭 수출 작년 8만 1,066대…전년比 20.0%↑해상운임 낮은 5톤 이하와 트랙터 위주 수출 증가중고 버스, 동남아 일대에 소형급 위주로 수출 회복수출용 중고 트럭 선적하는 모습(..",05/03,0,127
"기아, 연식변경 `더 2023 K8` 출시…일부 선택사양 기본 적용","(서울=연합뉴스) 김보경 기자 = 기아는 준대형 세단 K8의 연식 변경 모델 '더(The) 2023 K8'을 출시하고 판매를 개시한다고 2일 밝혔다.기아, 'The 2023 K8' 출시[기..",05/02,0,2013
"현대모비스, 스마트키를 디지털키로 바꾸는 `브링앤티` 출시","현대모비스, 스마트키→디지털키 변환 '브링앤티' 출시[현대모비스 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 현대모비스는 자동차 스마트키를 스마트폰과 연동시켜 디지털키로 ..",05/02,0,1156
"운전자 없이 빈공간 자동주차…벤츠코리아, `파크 파일럿` 시연",애플리케이션 통한 자동 발렛주차 기술(서울=연합뉴스) 김보경 기자 = 메르세데스-벤츠 코리아는 자동차가 알아서 주차장을 찾아 이동하는 자동 발렛 주차(대리 주차) 기술인 '인텔리전트 파크 ..,05/02,0,703
외면받는 2천㏄급 중형차…9년 연속 비중 하락,엔진 효율 높아져 다운사이징 가속화되고 SUV 선호 등 영향자동차 엔진[촬영 안 철 수](서울=연합뉴스) 박성민 기자 = 한국을 대표하던 배기량 2천㏄급 중형 자동차가 갈수록 쇠락의 길을 ..,05/02,0,890
`K배터리` 1분기 점유율 26.3%…중국기업 약진으로 점유율 하락,CATL 등 중국 업체 점유율 절반 넘어…LG엔솔 15.9%로 2위'K배터리' 1분기 점유율 26.3%…중국기업 약진으로 점유율 하락 (CG)[연합뉴스TV 제공](서울=연합뉴스) 김기훈 기..,05/02,0,156
"삼성SDI, 제주 전기차 엑스포서 새 배터리 라인업 선보인다",'프라이맥스' 브랜드·'젠6' 등 소개삼성SDI제9회 국제전기차 엑스포에 참가한 삼성SDI 부스 조감도. [사진제공=삼성SDI. 재판매 및 DB 금지](서울=연합뉴스) 김기훈 기자 = 삼성..,05/02,0,123
"LG엔솔, 호주 라이온타온과 `리튬 정광` 최종 공급계약 체결",LG에너지솔루션[LG에너지솔루션 제공](서울=연합뉴스) 조재영 기자 = LG에너지솔루션이 호주 광산업체 '라이온타운(Liontown)'으로부터 5년간 리튬 정광 70만t(톤)을 공급받는다...,05/02,0,85
"SK케미칼, 옥수수로 만든 친환경 폴리올 양산 돌입",제네시스 GV60 인조가죽 시트에 적용SK케미칼 바이오 폴리올 준공식[SK케미칼 제공. DB 및 재판매 금지](서울=연합뉴스) 김철선 기자 = SK케미칼이 옥수수로 만든 친환경 폴리올 신소..,05/02,0,120
"현대차, 아마추어 레이싱팀 `TEAM HMC` 6년 연속 후원","현대차, 아마추어 레이싱팀 'TEAM HMC' 6년 연속 후원[현대차 제공. 재판매 및 DB 금지](서울=연합뉴스) 박성민 기자 = 현대차는 6년 연속으로 아마추어 동호회 레이싱팀인 'TE..",05/02,1,191
수소충전소 관련 세계 5대 특허청 특허출원 연평균 15% 늘어,"중국, 일본, 미국, 한국, 유럽 순기체수소충전소 개념도. 출처 한국가스기술공사[특허청 제공. 재판매 및 DB 금지](대전=연합뉴스) 유의주 기자 = 수소차 시장이 커지면서 수소충전소에 관..",05/02,0,88
"현대차, 아이오닉5로 인니 전기차시장 선점…작년 판매량의 2배 계약",사전계약대수 1천587대…'일본차 텃밭' 인니 시장 전기차로 공략(서울=연합뉴스) 김보경 기자 = 현대자동차가 아이오닉5를 내세워 인도네시아 전기차 시장 공략에 박차를 가하고 있다.아이오닉..,05/02,0,113
"현대차·기아, 전기차 앞세워 1분기 친환경차 수출 10만대 돌파",전기차 수출 80.5%↑…아이오닉5·EV6 각각 1만5천여대플러그인하이브리드 47.8% 늘고 하이브리드는 2.8% 줄어아이오닉 5[연합뉴스 자료사진](서울=연합뉴스) 권희원 기자 = 차량용..,05/02,0,79
"친환경 버금가는 ‘유로6D’ 시대 돌입 국산·수입 트럭 8사, 시장공략에 박차","올해부터 유로6D 본격 시행…신모델 잇따라편의·안전·첨단기술 사양 확대로 상품성 강화엔진 출력 유로6A와 비교해 10~30마력 증대배기량 13ℓ급 400마력대 축소, 500마력대 집중친환경..",04/29,2,1288
"제네시스 GV70, 美자동차전문지 평가서 BMW·렉서스 제쳐",(서울=연합뉴스) 최평천 기자 = 제네시스 GV70 스포츠 모델이 미국 자동차 전문지 '카앤드라이버' 비교평가에서 BMW와 렉서스를 제치고 1위를 차지했다.29일 현대차에 따르면 GV70 ..,04/29,9,1411
"히노 준중형 전기트럭 ‘듀트로 Z EV’, 일본서 실증사업 돌입","히노는 자사 준중형 전기트럭 ‘듀트로 Z EV’를 아스쿨, 큐브링크스, 히노자동차 등 3사에 도입, 실증사업을 진행한다고 최근 밝혔다.듀트로 Z EV는 차량 총중량 3.5톤에 전장, 전폭,..",04/29,0,513
"여기서 잠깐! 왜 이런 모습이지? 미 트럭, 진짜 미국풍스럽네!","트럭은 각 국가의 화물운송 환경에 맞춰 발달한다. 가령 일본의 경우 데이캡(Day Cab, 침대 공간이 없는 캡)과 저상캡(차고를 낮춘 캡)의 선호도가 높다. 한국과 유럽은 슬리퍼캡(Sle..",04/29,0,1232
[속초소식] 내달부터 전기자동차 충전구역 불법주차 단속,(속초=연합뉴스) 강원 속초시는 다음 달 1일부터 지역 내 모든 전기자동차 충전 및 전용주차구역 내 불법주차와 충전방해 행위에 대해 단속한다고 29일 밝혔다.전기차 충전소[서울시 제공. 재..,04/29,0,245
제주 국제전기자동차엑스포 내달 3일 개막…테슬라·폴스타 참가,"40여 개국서 2만여 명 참가, 100여 개 세션 진행(제주=연합뉴스) 고성식 기자 = 제9회 국제전기자동차엑스포(IEVE)가 다음 달 3일 제주에서 개막한다.전기차 엑스포 퍼레이드(CG)..",04/29,0,154
"SKB 자회사 홈앤서비스, AJ대원과 공동주택 전기차 충전기 확대",[홈앤서비스 제공. 재판매 및 DB 금지](서울=연합뉴스) 조성흠 기자 = SK브로드밴드의 자회사 홈앤서비스는 공동주택 내 전기차 충전기 설치 확대를 위해 건물시설 관리업체 AJ대원과 업무..,04/29,0,96
"GM, 지속가능경영 보고서 발간…""기후형평성기금 5천만달러 조성""",GM 2021 지속가능경영 연간보고서[한국GM 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 한국GM은 본사인 제네럴모터스(GM)가 5천만달러(약 630억원) 규모의 '기후..,04/29,0,105
"다임러트럭 자회사 토크로보틱스,독일 슈투트가르트에 자율주행 연구센터 설립",토크 로보틱스는 지난 4월 독일 슈투트가르트(Stuttgart)에 자율주행 연구센터를 설립한다고 밝혔다. 이곳에선 운전자가 개입하지 않는 수준인 대형트럭 레벨4 자율주행이 연구될 예정이다...,04/29,0,266
"두산퓨얼셀, 2년 내 국내 수소버스 출시한다",발라드파워시스템즈 및 하이엑시엄과 협력두산퓨얼셀이 현대자동차의 주력 무대인 수소버스 시장에 뛰어든다. 2년 내 차량용 수소연료전지를 탑재한 수소버스를 국내 시장에 선보인다는 구상이다.28일..,04/29,0,165
"용인시, 2022년 전기버스 지원 사업 시행","용인시가 오는 5월 3일부터 2022년도 전기버스 구매 지원 사업을 시행한다.지원 차량은 1층 전기버스 44대, 2층 전기버스 6대 등 50대다. 신청 자격은 보조금 신청 3개월 이전부터 ..",04/29,0,91
"트라톤, 전기트럭 개발에 대대적 투자",2026년까지 26억 유로 투자기존 16억 유로보다 대폭 증액순수 배터리 전기트럭에 집중트라톤그룹의 전동화 구상을 그린 영상의 한 장면독일 폭스바겐 산하 상용차 그룹인 트라톤은 지난달 전기..,04/29,0,177
"현대차, 경형 전기 SUV 개발중…2024년 유럽 출시할듯",현대차 아이오닉 5[현대차 제공. 재판매 및 DB 금지](서울=연합뉴스) 최평천 기자 = 현대차가 유럽 출시를 목표로 경형 전기 SUV(스포츠유틸리티차)를 개발 중이다.27일 업계에 따르면..,04/28,2,
"캐딜락, 쇼트트랙 금메달리스트 최민정·황대헌에 SUV 지원",(서울=연합뉴스) 박성민 기자 = 캐딜락은 2022 베이징동계올림픽 쇼트트랙 금메달리스트 최민정(성남시청)과 황대헌(강원도청) 선수에게 럭셔리 스포츠유틸리티차(SUV) 'XT5'를 지원한다..,04/28,1,
"르노코리아차, 2022 협력업체 컨퍼런스…""친환경차 개발 합심""","르노코리아차, 2022 협력업체 컨퍼런스[르노코리아차 제공. 재판매 및 DB 금지](서울=연합뉴스) 권희원 기자 = 르노코리아자동차는 27일 부산시 파라다이스[034230] 호텔에서 친환경..",04/28,0,315
"정부, `산업혁신기반구축 로드맵` 수립…52개 과제 R&D 투자",수송·전자전기·바이오·기계로봇 등 6개 분야별 신규과제 선정연구개발(R&D)(PG)[이태호 제작] 사진합성·일러스트(서울=연합뉴스) 권혜진 기자 = 정부가 중소·중견기업이 활용할 수..,04/28,0,107
"현대자동차, 어린이통학차량 ‘무상 케어 서비스’ 실시","현대자동차는 향균, 점검, 에어컨 필터 교환 등의 서비스를 무상으로 제공하는 어린이 통학차량 ‘무상 케어 서비스’를 실시한다고 21일 밝혔다.구체적으로 현대자동차는 ▲차량 실내 살균 및 피..",04/28,0,130
"금호타이어, 내달 독일·이탈리아 타이어 전시회 참가",(서울=연합뉴스) 박성민 기자 = 금호타이어는 다음 달 24일(현지시간)부터 사흘간 독일 쾰른에서 열리는 국제 타이어 전시회 '더 타이어 쾰른(The Tire Cologne) 2022'와 ..,04/28,0,125
"기아, 네덜란드 환경단체와 바다 플라스틱 제거·활용 `맞손`",'오션클린업'과 파트너십 체결…자원순환체계 구축 일환(서울=연합뉴스) 김보경 기자 = 기아는 네덜란드의 비영리 환경단체인 '오션클린업'(The Ocean Cleanup)과 지속가능한 지구를..,04/28,0,97
"현대차·기아, 국내 대학과 손잡고 전기차 소프트웨어 개발한다","'지능 제어 공동연구실' 설립…서울대·연세대·광운대 참여현대차그룹 지능제어 공동연구실 설립왼쪽부터 현대엔지비 강성원 상무, 현대차·기아 김치경 상무, 현대차·기아 연구개발본부장 박정국 사장..",04/28,1,102
"`수소모빌리티+쇼` 조직위, 다음달 프랑스 수소산업전 참여",현대차 아이오닉 5[현대차 제공. 재판매 및 DB 금지](서울=연합뉴스) 최평천 기자 = 현대차가 유럽 출시를 목표로 경형 전기 SUV(스포츠유틸리티차)를 개발 중이다.27일 업계에 따르면..,04/28,0,89
"금호타이어, 순천교통과 버스 모니터링서비스 시범운행 완료","금호타이어(대표 정일택)는 전라남도 운수업체인 순천교통과 버스 모니터링 서비스(이하 KBM, Kumho Bus Management System) 시범운행을 완료했다고 20일 밝혔다.금호타이..",04/28,0,135
"기아, 첫 PBV `니로 플러스` 공개…다음달부터 사전계약",주요 고객 대상 설명회 개최…택시·일반모델 2가지로 출시전고·전장 키운 설계로 공간감 최대화(서울=연합뉴스) 김보경 기자 = 기아가 '니로 플러스'로 목적 기반 모빌리티(PBV) 시장 진출..,04/27,0,1834
"중국, ‘배터리 교체식’ 전기트럭 대세","전기차 한계 ‘긴 충전시간’해결하며 보급에 속도올 1월 친환경 대형트럭판매량 2,283대의 99%‘배터리 교체식’ 전기트럭이 중국에서 선풍적인 인기를 끌고 있다. 배터리 교체식 전기트럭은 ..",04/27,5,1850
`상암 자율차 지구` 가상현실로…모의주행 시뮬레이터 개방,"SK텔레콤 등 국내기업 제작…서울시 ""기업·연구소 등 활용해 산업화 촉진될 것""자율차 모의주행 사진[서울시 제공. 재판매 및 DB 금지](서울=연합뉴스) 임미나 기자 = 서울시는 가상현실로..",04/27,0,203
"현대모비스, 미쓰비시 출신 임원 영입…일본 시장 공략 `본격화`",자율주행·전동화 부품 수주 활동 강화…현대차도 일본 진출(서울=연합뉴스) 최평천 기자 = 현대모비스가 일본 미쓰비시자동차 임원 출신을 영입하며 일본 시장 공략에 나섰다.현대차가 올해 2월 ..,04/27,0,363
핸들 안 잡았는데 경고음 안 울려…벤츠 E 250 등 3만991대 리콜,"국토부, 벤츠·랜드로버·기아 등 5개사 총 4만7천173대 리콜벤츠 리콜 차량[국토교통부 제공. 재판매 및 DB 금지](서울=연합뉴스) 최평천 기자 = 국토교통부는 메르세데스-벤츠코리아, ..",04/27,0,261
"미쉐린코리아, 트럭용 타이어 ’미쉐린 엑스 멀티 D2‘ 출시","안전성, 비용, 가동시간, 친환경성 등트럭 운전자들의 핵심 요구사항 충족미쉐린코리아(대표 제롬 뱅송)가 지난 22일 트럭용 타이어 ‘미쉐린 엑스 멀티 D2 (MICHELIN X Multi ..",04/27,0,256
"솔루스첨단소재, 유럽 최대 배터리업체와 전지박 공급계약 체결","(서울=연합뉴스) 김보경 기자 = 솔루스첨단소재는 유럽 최대 전기차 배터리 제조업체인 ACC와 전지박 중장기 공급 계약을 체결했다고 27일 밝혔다.솔루스첨단소재, ACC와 전지박 공급 계약..",04/27,0,166
"현대차 UAM 법인 `슈퍼널`, 영국에 첫 수직이착륙장 건립",슈퍼널 첫 UAM 수직이착륙장 '에어원'[유튜브 영상 캡처](서울=연합뉴스) 권희원 기자 = 현대차그룹의 미국 도심항공모빌리티(UAM) 법인인 슈퍼널은 26일 영국 코번트리에 UAM 수직 ..,04/27,0,208
충남도 `산업단지 대개조` 공모 선정…천안·아산 3개 산단 대상,산업단지 대개조 공모 선정 기자회견 하는 양승조 충남지사[충남도 제공. 재판매 및 DB 금지](홍성=연합뉴스) 조성민 기자 = 충남도가 1조원 가까운 규모의 예산이 투입되는 정부의 '산업단..,04/27,0,129
"포스코케미칼, 울산과학기술원과 배터리 전문 인재 육성 협약","포스코케미칼-울산과학기술원, 이배터리 트랙 과정 협약[포스코케미칼 제공. 재판매 및 DB 금지](서울=연합뉴스) 권혜진 기자 = 포스코케미칼은 26일 울산과학기술원(UNIST)과 배터리 소..",04/27,0,101
"만트럭버스, 독일·폴란드 공장 6주 만에 트럭 생산 재개","지난 3월 와이어링 하네스 부족으로 공장 가동 중단
현지 부품 업체 상황 고려...점진적 생산량 늘릴 계획
 

 
만트럭버스는 지난 25일 독일·폴란드 공장서 ..",04/27,0,138
유로6D 신모델 런칭은 ‘끝’…이젠 ‘사후관리’다,"트럭 업계, 작년 대대적인 신차 출시 단행높아진 차량 품질만큼 사후관리 능력 중요국산, 모델 가짓수 따라 정비소 개수 변화수입산, 신규 개소보다 이전·확장 등 내실강화‘시간이 곧 돈’인 화..",04/26,0,1143
"타타대우, 신모델에 힘입어 지난해 7,400대 판매…전년比 87.8%↑",‘더쎈’ 이어 ‘맥쎈’과 ‘구쎈’ 추가…올해 성장세 가속‘유로6E' 준하는 엔진…검증된 유럽산 파워트레인 구성커넥티드카 서비스 '쎈링크'로 편의성 및 운행효율↑타타대우의 '쎈' 라인업. 타..,04/26,0,772
기아 1분기 `어닝 서프라이즈`…매출·영업익 모두 역대 최대,"매출 18조3천억 10.7%↑·영업익 1조6천억 49.2%↑…시장전망치 26.3% 상회""고수익 차량 판매 증가에 우호적 환율 효과"" 덕분…""2분기에 더욱 개선""기아자동차 실적 상승 (PG)..",04/26,0,275
"현대차, 악재속 깜짝 실적…1분기 영업익 1조9천억원 8년만에 최대","시장전망치 17.7% 상회…믹스 개선에 우호적 환율 효과로 작년대비 16.4%↑""반도체난-원자잿값 상승-지정학적 리스크까지 어려운 경영환경 지속 전망""현대자동차[연합뉴스TV 제공](서울=연..",04/26,0,209
친환경 상용차 시대 앞당긴다…세계는 ‘제도’로 경쟁 중,ZEVTC 제시 친환경 상용차 보급 ‘5개 기준’① 국가별 디젤 단종시기 ② 배기가스 규제 적용③ 인센티브 ④ 인프라 ⑤ 향후 과제 등이 그 기준충전소 인프라 확충·TCO 향상도 뒷따라야대..,04/26,0,181
"기재차관 ""미래차산업 지속육성…충전인프라에 3천975억원 투입""",(서울=연합뉴스) 김승두 기자 = 이억원 기획재정부 1차관이 1일 정부서울청사에서 제6차 물가관계차관회의를 주재하고 있다. 2022.4.1 kimsdoo@yna.co.kr(세종=연합뉴스) ..,04/26,0,94
"슈미츠카고불 ‘에코플렉스’, ‘2022 유럽 친환경 운송수단상’ 수상",글로벌 트레일러 제조업체 슈미츠카고불(Schmitz-Cargobull)은 자사 친환경 트레일러 라인업 중 하나인 ‘에코플렉스(EcoFLEX)’가 2022년 유럽 친환경 운..,04/26,0,126
